F_Longitude,F_Latitude,T_Longitude,T_Latitude,F,T,Num
33.223191,43.679291,33.93911,67.709953,Iraq,Afghanistan,7
32.427908,53.688046,33.93911,67.709953,Iran,Afghanistan,30
26.820553,30.802498,41.153332,20.168331,Egypt,Albania,1
28.033886,1.659626,41.153332,20.168331,Algeria,Albania,1
41.377491,64.585262,41.153332,20.168331,Uzbekistan,Albania,1
38.963745,35.243322,41.153332,20.168331,Turkey,Albania,2
49.817492,15.472962,41.153332,20.168331,Czech Republic,Albania,2
35.86166,104.195397,41.153332,20.168331,China,Albania,4
33.223191,43.679291,41.153332,20.168331,Iraq,Albania,5
44.016521,21.005859,41.153332,20.168331,Serbia,Albania,47
6.611111,20.939444,28.033886,1.659626,Central African Republic,Algeria,1
26.3351,17.228331,28.033886,1.659626,Libya,Algeria,1
33.223191,43.679291,28.033886,1.659626,Iraq,Algeria,1
7.369722,12.354722,28.033886,1.659626,Cameroon,Algeria,3
5.152149,46.199616,28.033886,1.659626,Somalia,Algeria,4
6.428055,-9.429499,28.033886,1.659626,Liberia,Algeria,5
7.539989,-5.54708,28.033886,1.659626,C?te d'Ivoire,Algeria,5
-0.228021,15.827659,28.033886,1.659626,Congo [Republic],Algeria,64
24.215527,-12.885834,28.033886,1.659626,Western Sahara,Algeria,90000
-13.133897,27.849332,-11.202692,17.873887,Zambia,Angola,1
6.611111,20.939444,-11.202692,17.873887,Central African Republic,Angola,1
11.803749,-15.180413,-11.202692,17.873887,Guinea-Bissau,Angola,1
28.033886,1.659626,-11.202692,17.873887,Algeria,Angola,1
33.223191,43.679291,-11.202692,17.873887,Iraq,Angola,1
-30.559482,22.937506,-11.202692,17.873887,South Africa,Angola,2
21.521757,-77.781167,-11.202692,17.873887,Cuba,Angola,2
-6.369028,34.888822,-11.202692,17.873887,Tanzania,Angola,3
15.179384,39.782334,-11.202692,17.873887,Eritrea,Angola,4
-3.373056,29.918886,-11.202692,17.873887,Burundi,Angola,10
9.945587,-9.696645,-11.202692,17.873887,Guinea,Angola,11
21.00789,-10.940835,-11.202692,17.873887,Mauritania,Angola,16
5.152149,46.199616,-11.202692,17.873887,Somalia,Angola,33
12.862807,30.217636,-11.202692,17.873887,Sudan,Angola,41
15.454166,18.732207,-11.202692,17.873887,Chad,Angola,54
6.428055,-9.429499,-11.202692,17.873887,Liberia,Angola,69
8.460555,-11.779889,-11.202692,17.873887,Sierra Leone,Angola,84
7.539989,-5.54708,-11.202692,17.873887,C?te d'Ivoire,Angola,150
-1.940278,29.873888,-11.202692,17.873887,Rwanda,Angola,278
-0.228021,15.827659,-11.202692,17.873887,Congo [Republic],Angola,11900
-40.900557,174.885971,-38.416097,-63.616672,New Zealand,Argentina,1
-1.940278,29.873888,-38.416097,-63.616672,Rwanda,Argentina,1
-1.831239,-78.183406,-38.416097,-63.616672,Ecuador,Argentina,1
-0.023559,37.906193,-38.416097,-63.616672,Kenya,Argentina,1
